Date Time Byte0 Byte1 Byte2 Byte3 Byte4 Byte5 Byte6
2014-12-14 15:15:26.359757 181 0 7 131 1 192
2014-12-14 15:15:26.502552 213 0 0 106 0 193
2014-12-14 15:15:26.800831 213 0 0 106 0 193
2014-12-14 15:15:26.954128 181 0 1 131 0 199
2014-12-14 15:15:27.095890 213 0 0 106 0 193
2014-12-14 15:15:27.251412 181 0 4 131 0 196
2014-12-14 15:15:27.392829 213 0 0 106 0 193
2014-12-14 15:15:27.548734 181 0 5 131 30 165
2014-12-14 15:15:27.689586 213 0 0 106 0 193
2014-12-14 15:15:27.845927 181 0 6 131 2 192
2014-12-14 15:15:27.986133 213 0 0 106 0 193
2014-12-14 15:15:28.284508 213 0 0 106 0 193
2014-12-14 15:15:28.440434 181 0 7 131 1 192
2014-12-14 15:15:28.579521 213 0 0 106 0 193
2014-12-14 15:15:28.727788 181 0 1 131 0 199
2014-12-14 15:15:28.876238 213 0 0 106 0 193
2014-12-14 15:15:29.174533 213 0 0 106 0 193
2014-12-14 15:15:29.322415 181 0 4 131 0 196
2014-12-14 15:15:29.469748 213 0 0 106 0 193
2014-12-14 15:15:29.619690 181 0 5 131 30 165
2014-12-14 15:15:29.766433 213 0 0 106 0 193
2014-12-14 15:15:30.064768 213 0 0 106 0 193
2014-12-14 15:15:30.214287 181 0 6 131 2 192
2014-12-14 15:15:30.359881 213 0 0 106 0 193
2014-12-14 15:15:30.658196 213 0 0 106 0 193
2014-12-14 15:15:30.808690 181 0 7 131 1 192
2014-12-14 15:15:30.953264 213 0 0 106 0 193
2014-12-14 15:15:31.105936 181 0 1 131 0 199
2014-12-14 15:15:31.250025 213 0 0 106 0 193
2014-12-14 15:15:31.548417 213 0 0 106 0 193
2014-12-14 15:15:31.700585 181 0 4 131 0 196
2014-12-14 15:15:31.843592 213 0 0 106 0 193
2014-12-14 15:15:31.997822 181 0 5 131 30 165
2014-12-14 15:15:32.140306 213 0 0 106 0 193
2014-12-14 15:15:32.295150 181 0 6 131 2 192
2014-12-14 15:15:32.437009 213 0 0 106 0 193
2014-12-14 15:15:32.735291 213 0 0 106 0 193
2014-12-14 15:15:32.889622 181 0 7 131 1 192
2014-12-14 15:15:33.030371 213 0 0 106 0 193
2014-12-14 15:15:33.186876 181 0 1 131 0 199
2014-12-14 15:15:33.327086 213 0 0 106 0 193
2014-12-14 15:15:33.484160 181 0 4 130 0 197
2014-12-14 15:15:33.623904 213 0 0 106 0 193
2014-12-14 15:15:33.776136 181 0 5 130 30 166
2014-12-14 15:15:33.920560 213 0 0 106 0 193
2014-12-14 15:15:34.218875 213 0 0 106 0 193
2014-12-14 15:15:34.370703 181 0 6 129 2 194
2014-12-14 15:15:34.514114 213 0 0 106 0 193
2014-12-14 15:15:34.669945 181 0 7 129 1 194
2014-12-14 15:15:34.810691 213 0 0 106 0 193
2014-12-14 15:15:34.967865 181 0 1 0 0 74
2014-12-14 15:15:35.107409 213 0 0 106 0 193
2014-12-14 15:15:35.255259 181 0 4 0 0 71
2014-12-14 15:15:35.404123 213 0 0 106 0 193
2014-12-14 15:15:35.552548 181 0 5 0 30 40
2014-12-14 15:15:35.700903 213 0 0 106 0 193
2014-12-14 15:15:35.849809 181 0 6 0 2 67
2014-12-14 15:15:35.997551 213 0 0 106 0 193
2014-12-14 15:15:36.147047 181 0 7 0 1 67
2014-12-14 15:15:36.294267 213 0 0 106 0 193
2014-12-14 15:15:36.592615 213 0 0 106 0 193
2014-12-14 15:15:36.745937 181 0 1 0 0 74
2014-12-14 15:15:36.887614 213 0 0 106 0 193
2014-12-14 15:15:37.185941 213 0 0 106 0 193
2014-12-14 15:15:37.340571 181 0 4 1 0 70
2014-12-14 15:15:37.481074 213 0 0 106 0 193
2014-12-14 15:15:37.638502 181 0 5 1 30 39
2014-12-14 15:15:37.777830 213 0 0 106 0 193
2014-12-14 15:15:37.925792 181 0 6 1 2 66
2014-12-14 15:15:38.074512 213 0 0 106 0 193
2014-12-14 15:15:38.373266 213 0 0 106 0 193
2014-12-14 15:15:38.520623 181 0 7 1 1 66
2014-12-14 15:15:38.667879 213 0 0 106 0 193
2014-12-14 15:15:38.966095 213 0 0 106 0 193
2014-12-14 15:15:39.114767 181 0 1 1 0 73
2014-12-14 15:15:39.261333 213 0 0 106 0 193
2014-12-14 15:15:39.411995 181 0 4 1 0 70
2014-12-14 15:15:39.557998 213 0 0 106 0 193
2014-12-14 15:15:39.856348 213 0 0 106 0 193
2014-12-14 15:15:40.006621 181 0 5 1 30 39
2014-12-14 15:15:40.151521 213 0 0 106 0 193
2014-12-14 15:15:40.449821 213 0 0 106 0 193
